position,title
Q28015471,President
Q30100661,Prime Minister
Q114440608,Minister of State
Q114441421,Minister of Agriculture
Q114440748,Minister of the Armed Forces
Q114440708,"Minister of the Civil Service, Labour and Social Dialogue"
Q114441474,Minister of Commerce
Q114441448,Minister of Communication and Media
Q114441451,Minister of Culture and Tourism
Q114440847,Minister of the Digital Economy
Q114441516,Minister of Education
Q114441430,Minister of the Environment
Q96393325,Minister of Finance
Q114441258,Minister of Financial Inclusion
Q18204397,Minister of Foreign Affairs
Q112671903,Minister of Health
Q114441534,Minister of Higher Education
Q114440866,Minister of Human Rights
Q113579031,Minister of Industry
Q110251231,Minister of Infrastructure and Transport
Q114439929,Minister of Internal Affairs
Q114441178,Minister of Investment Promotion
Q99312298,Minister of Justice
Q114440821,"Minister of the Maritime Economy, Fisheries and Coastal Protection"
Q114439931,Minister of Mines and Energy
Q114440854,Minister of Posts and Telecommunications
Q114440205,Minister of Public Works
Q114441559,Minister of Rural Roads
Q114440822,Minister of Security and Civil Protection
Q114440984,"Minister of Social Action, Women, and Literacy"
Q114440657,Minister of Sport
Q114440596,Minister of Territorial Administration
Q114441710,"Minister of Town Planning, Housing and Land Reform"
Q114440963,Minister of Transport
Q114440930,Minister of Water
Q114441586,Minister of Youth
Q114440516,Secretary General of the Government
Q114441350,Secretary General of the Presidency
Q114441707,Minister Delegate for Technical Education and Handicrafts
Q114441675,Minister Delegate for Territorial Development
Q114441702,Minister Delegate for Universal Access to Healthcare
Q114440889,Government Spokesperson
Q113946320,President of the National Assembly
