@@,item,itemlabel,startdate,enddate
->,Q6428317,Komi Klassou->Komi Sélom Klassou,2015-06-10,NULL->2020-09-28
->,Q16682496,Victoire Dogbé Tomegah->Victoire Tomegah Dogbé,2020-09-28,
