@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
+++,Q105550917,Essozimna Marguerite Gnakadè,,Ministre des Armées,,,
+++,Q114005610,Kanka-Malik Natchaba,,Ministre,,,
->,Q106857717,Lidi Kedjaka Gbessi Kama->Lidi Bessi Kama,Q114440657,Ministre des Sports et Loisirs,2020-10-01,,Q106857717-f89be0ce-49da-3ba6-4c67-c5e3a3be160f
+++,Q85793465,Pius Agbetomey,,Garde des sceaux,,,
+++,Q108385139,Sandra Ablamba Johnson,,Ministre,,,
