item,itemLabel,position,positionLabel,startDate,endDate
Q16682496,Victoire Tomegah Dogbé,,Première ministre,,
Q113579024,Payadowa Boukpessi,,Ministre d'État,,
Q113579024,Payadowa Boukpessi,,"Ministre de l'Administration territoriale, de la Décentralisation et du Développement des territoires",,
Q112180579,Adjovi Lonlongno Apedo,,"Ministre de l'Action sociale, de la Promotion de la femme et de l'Alphabétisation",,
Q27756289,Robert Dussey,,"Ministre des Affaires étrangères, de l'Intégration régionale et des Togolais de l'extérieur",,
,Antoine Lekpa Gbegbeni,,"Ministre de l'Agriculture, de l'Élevage et du Développement rural",,
Q105550917,Essozimna Marguerite Gnakadè,,Ministre des Armées,,
,Kodjo Adedze,,"Ministre du Commerce, de l'Industrie et de la Consommation locale",,
,Akodah Ayewouadan,,Porte-parole du gouvernement,,
,Akodah Ayewouadan,,Ministre de la Communication et des Médias,,
,Kossi Lamadokou,,Ministre de la Culture et du Tourisme,,
,Bouraïma Kanfitine Tchede-Issa,,Ministre du Désenclavement et des Pistes rurales,,
,Myriam Dossou de Souza-D'Almeida,,"Ministre du Développement à la base, de la Jeunesse et de l'Emploi des jeunes",,
Q109018470,Christian Eninam Trimua,,Porte-parole du gouvernement,,
Q109018470,Christian Eninam Trimua,,"Ministre des Droits de l'Homme, de la Formation à la citoyenneté, des Relations avec les institutions de la République",,
Q107022057,Bolidja Tiem,,Ministre de l'Eau et de l'Hydraulique villageoise,,
Q88219141,Sani Yaya,,Ministre de l'Économie et des Finances,,
Q97368687,Edem Tengue,,"Ministre de l'Économie maritime, de la Pêche et de la Protection côtière",,
Q16325277,Cina Lawson,,Ministre de l'Économie numérique et de la Transformation digitale,,
,Komla Dodzi Kokoroko,,"Ministre des Enseignements primaire, secondaire, technique et de l'Artisanat",,
,Ihou Wateba,,Ministre de l'Enseignement supérieur et de la Recherche,,
,Katari Foli-Bazi,,Ministre de l'Environnement et des Ressources forestières,,
Q16639103,Gilbert Bawara,,"Ministre de la Fonction publique, du Travail et du Dialogue social",,
Q108093970,Rose Kayi Mivedor,,Ministre de la Promotion de l'investissement,,
Q85793465,Pius Agbetomey,,Garde des sceaux,,
Q85793465,Pius Agbetomey,,Ministre de la Justice et de la Législation,,
,Moustafa Mijiyawa,,"Ministre de la Santé, de l'Hygiène publique et de l'Accès universel aux soins",,
Q16545858,Damehane Yark,,Ministre de la Sécurité et de la Protection civile,,
Q106857717,Lidi Kedjaka Gbessi Kama,,Ministre des Sports et Loisirs,,
Q65150953,Affoh Atcha-Dédji,,"Ministre des Transports routiers, ferroviaire et aérien",,
Q110251228,Zouréhatou Kassah-Traoré,,Ministre des Travaux publics,,
,Koffi Tsolenyanu,,"Ministre de l'Urbanisme, de l'Habitat et de la Réforme foncière",,
,Essomanam Edjeba,,Ministre chargé du Développement des territoires,,
,Kokou Eke Odin,,Ministre délégué chargé de l'Enseignement technique et de l'Artisanat,,
,Mamissilé Akla Agba Assih,,Ministre délégué chargé de l'Accès universel aux soins,,
Q114005610,Kanka-Malik Natchaba,,Ministre,,
Q114005610,Kanka-Malik Natchaba,,Secrétaire général du Gouvernement,,
Q108385139,Sandra Ablamba Johnson,,Ministre,,
Q108385139,Sandra Ablamba Johnson,,Secrétaire général de la Présidence,,
,Mazamesso Assih,,Ministre chargé de l'Inclusion financière et de l'Organisation du secteur informel,,
Q106764569,Mawougno Aziablé,,Ministre délégué auprès du Président de la République chargé de l'Énergie et des Mines,,
