item,itemLabel,startDate,endDate,sourceDate,psid
Q113946296,Seye Memene,1999,2002,2022-09-12,Q113946296-0C3C1461-C056-4697-862B-936AB485491D
Q113946294,Katari Foli-Bazi,2002,2005,2022-09-12,Q113946294-4D0C4470-817E-43ED-8AF3-639BCAF87417
Q75863710,Tchessa Abi,2005,2009,2022-09-12,Q75863710-0D9D2125-9E8B-4BFA-86B4-EECA019E6812
Q113946291,Biossey Tozoun,2009,2011,2022-09-12,Q113946291-E306288B-A0C9-49B0-B1D1-3C348FF4B585
Q73364538,Tchitchao Tchalim,2011,2014,,Q73364538-7bd6cac3-464e-632c-abce-e856b2fce51a
Q1778364,Kofi Esaw,2013-09-17,2017,,Q1778364-9c73d204-4566-33c5-eaa5-3672eb0148eb
Q85793465,Pius Agbetomey,2015-06-28,,,Q85793465-d9f85d13-4afc-1f12-080c-0ffbb675728f
