item,itemLabel,startDate,endDate,sourceDate,psid
Q392055,Agbéyomé Kodjo,1999-06-22,2000-08-29,2022-09-12,Q392055-1CB86CA3-B201-4263-B3B1-E542D8260486
Q2522820,Fambaré Ouattara Natchaba,2000-09-03,2005-02-05,2022-09-12,Q2522820-34800C14-0B68-4B5B-8396-B1F256CABE17
Q4414,Faure Gnassingbé,2005-02-05,2005-02-24,2022-09-12,Q4414-B232BE02-9295-4E6B-8FBD-AB6C9E6CABA3
Q305669,Abass Bonfoh,2005-02-24,2013-07-25,2022-09-12,Q305669-8ECE07A0-8495-4EF1-8DBC-3A52DF698A7D
Q5211860,Dama Dramani,2013-07-26,2018-12-20,2022-09-12,Q5211860-B5E4E6FE-FDD3-4AFC-8FBA-F81B87A377C2
Q60965577,Yawa Djigbodi Tségan,2019-01-23,,,Q60965577-2d2ac5c4-4a36-4ae3-cae6-abaaa1056530
