position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q18204397,Minister of Foreign Affairs,Q945,Togo,Q945,Togo,,,,,,,,,,
Q21296004,Member of the National Assembly of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q28015471,President of Togo,Q945,Togo,Q945,Togo,1960-04-27,,,,,,,,Q866730,list of presidents of Togo
Q30100661,Prime Minister of Togo,Q945,Togo,Q945,Togo,1960-04-27,,,,,,,,Q1187629,list of Prime Ministers of Togo
Q30676431,Togolese Ambassador to China,,,,,,,,,,,,,,
Q38251777,Togolese Ambassador to the United States,,,,,,,,,,,,,,
Q96393325,Minister of Finance,Q945,Togo,,,,,,,,,,,,
Q99312298,Justice Minister of Togo,Q945,Togo,,,,,,,,,,,,
Q110251231,Minister of Infrastructure and Transport,Q945,Togo,,,,,,,,,,,,
Q112671903,Minister of Health of Togo,Q945,Togo,,,,,,,,,,,,
Q113579031,Minister of Industry of Togo,,,Q945,Togo,,,,,,,,,,
Q113946224,ambassador of Togo to Ethiopia,,,,,,,,,,,,,,
Q113946320,President of the National Assembly of Togo,Q945,Togo,Q945,Togo,,,,,,,,,Q6594821,list of presidents of the National Assembly of Togo
Q114439929,Minister of Internal Affairs of Togo,,,Q945,Togo,,,,,,,,,,
Q114439931,Minister of Mines and Energy,,,Q945,Togo,,,,,,,,,,
Q114440205,Minister of Public Works of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440516,Secretary General of the Government,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440596,Minister of Territorial Administration,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440608,Minister of State of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440657,Minister of Sport,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440708,"Minister of the Civil Service, Labour and Social Dialogue",Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440748,Minister of the Armed Forces,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440821,"Minister of the Maritime Economy, Fisheries and Coastal Protection",Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440822,Minister of Security and Civil Protection,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440847,Minister of the Digital Economy,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440854,Minister of Posts and Telecommunications,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440866,Minister of Human Rights,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440889,Government Spokesperson of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440930,Minister of Water of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440963,Minister of Transport of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114440984,"Minister of Social Action, Women, and Literacy",Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441178,Minister of Investment Promotion,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441258,Minister of Financial Inclusion,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441350,Secretary General of the Presidency,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441421,Minister of Agriculture of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441430,Minister of the Environment of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441448,Minister of Communication and Media,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441451,Minister of Culture and Tourism,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441474,Minister of Commerce of Togo,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441516,Minister of Education,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441534,Minister of Higher Education,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441559,Minister of Accessibility and Rural Roads,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441586,Minister of Youth,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441675,Minister Delegate for Territorial Development,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441702,Minister Delegate for Universal Access to Healthcare,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441707,Minister Delegate for Technical Education and Handicrafts,Q945,Togo,Q945,Togo,,,,,,,,,,
Q114441710,"Minister of Town Planning, Housing and Land Reform",Q945,Togo,Q945,Togo,,,,,,,,,,
