position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q30277603,Member of the Pan-African Parliament,,African Union,2,Q4683147
Q17004820,Secretary General of the Organisation of African Unity,,,1,Q961159
Q19161632,chairperson of the Organisation of African Unity,,,1,Q155385
Q16533,judge,,,1,Q75863710
Q319544,secretary,,,1,Q115797299
Q736559,secretary of state,,<noval>,1,Q112180599
Q42178,vice president,National Assembly,,1,Q115770889
