item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended
Q114440889,Government Spokesperson of Togo,,,Q945,Q945,,
Q99312298,Justice Minister of Togo,Q55623320,Ministry of Justice (Togo),Q945,,,
Q114441707,Minister Delegate for Technical Education and Handicrafts,,,Q945,Q945,,
Q114441675,Minister Delegate for Territorial Development,,,Q945,Q945,,
Q114441702,Minister Delegate for Universal Access to Healthcare,,,Q945,Q945,,
Q114441559,Minister of Accessibility and Rural Roads,,,Q945,Q945,,
Q114441421,Minister of Agriculture of Togo,,,Q945,Q945,,
Q114441474,Minister of Commerce of Togo,,,Q945,Q945,,
Q114441448,Minister of Communication and Media,,,Q945,Q945,,
Q114441451,Minister of Culture and Tourism,,,Q945,Q945,,
Q114441516,Minister of Education,,,Q945,Q945,,
Q96393325,Minister of Finance,,,Q945,,,
Q114441258,Minister of Financial Inclusion,,,Q945,Q945,,
Q18204397,Minister of Foreign Affairs,,,Q945,Q945,,
Q112671903,Minister of Health of Togo,,,Q945,,,
Q114441534,Minister of Higher Education,,,Q945,Q945,,
Q114440866,Minister of Human Rights,,,Q945,Q945,,
Q110251231,Minister of Infrastructure and Transport,Q110251256,Ministry of Infrastructure and Transport of Togo,Q945,,,
Q114439929,Minister of Internal Affairs of Togo,Q3315226,Ministry of Internal Affairs of Togo,,Q945,,
Q114441178,Minister of Investment Promotion,,,Q945,Q945,,
Q114439931,Minister of Mines and Energy,Q4902553,Ministry of Mines and Energy,,Q945,,
Q114440854,Minister of Posts and Telecommunications,,,Q945,Q945,,
Q114440205,Minister of Public Works of Togo,,,Q945,Q945,,
Q114440822,Minister of Security and Civil Protection,,,Q945,Q945,,
Q114440984,"Minister of Social Action, Women, and Literacy",,,Q945,Q945,,
Q114440657,Minister of Sport,,,Q945,Q945,,
Q114440608,Minister of State of Togo,,,Q945,Q945,,
Q114440596,Minister of Territorial Administration,,,Q945,Q945,,
Q114441710,"Minister of Town Planning, Housing and Land Reform",,,Q945,Q945,,
Q114440963,Minister of Transport of Togo,,,Q945,Q945,,
Q114440930,Minister of Water of Togo,,,Q945,Q945,,
Q114441586,Minister of Youth,,,Q945,Q945,,
Q114440748,Minister of the Armed Forces,,,Q945,Q945,,
Q114440708,"Minister of the Civil Service, Labour and Social Dialogue",,,Q945,Q945,,
Q114440847,Minister of the Digital Economy,,,Q945,Q945,,
Q114441430,Minister of the Environment of Togo,,,Q945,Q945,,
Q114440821,"Minister of the Maritime Economy, Fisheries and Coastal Protection",,,Q945,Q945,,
Q30100661,Prime Minister of Togo,,,Q945,Q945,1960,
Q114440516,Secretary General of the Government,,,Q945,Q945,,
Q114441350,Secretary General of the Presidency,,,Q945,Q945,,
