item,itemLabel,minister,ministerLabel,began,ended
Q110251256,Ministry of Infrastructure and Transport of Togo,Q110251231,Minister of Infrastructure and Transport,,
Q55623320,Ministry of Justice (Togo),Q99312298,Justice Minister of Togo,,
Q4902553,Ministry of Mines and Energy,,,,
