position,person,personID,start,end
Member of the National Assembly,Adjaratou Abdoulaye,Q4683147,2007,2013
Member of the National Assembly,Isabelle Ameganvi,Q510104,2007,2010-11
Member of the National Assembly,Antoine Lekpa Gbegbeni,Q114441751,2007-10,2013-07
Member of the National Assembly,Isabelle Ameganvi,Q510104,2013-07-25,
Member of the National Assembly,Zouréhatou Kassah-Traoré,Q110251228,2018,2019-03-22
Member of the National Assembly,Koffi Sodokin,Q115769403,2018-12-20,
Member of the National Assembly,Mantöde De Poukn,Q115797299,2018-12-21,
Member of the National Assembly,Yempabe Bonsa,Q115797315,2018-12-21,
Member of the National Assembly,Léonardina Rita Doris de Souza,Q115780925,2019,
Member of the National Assembly,Tchatomby Ouro-Bawinay,Q65128871,2019-01,
Member of the National Assembly,Gerry Taama,Q115942854,2019-01-08,
Member of the National Assembly,Yawovi Missiame Amenyo Adjourouvi,Q115770889,2019-01-25,
Member of the National Assembly,Dziwonu Koffi Degboe,Q115780859,2019-03-22,
Member of the National Assembly,Molgah Abougnima,Q115769871,2019-04-16,
Member of the National Assembly,Kossi Koku Adjaklo,Q115770014,2019-04-16,
Member of the National Assembly,Adjaratou Abdoulaye,Q4683147,2019-04-16,
