wanted,position,positionid,from,start,end
Q110251228,Minister of Transport,Q114440963,Q65150953,2020-10-01,
Q114440932,Minister of Water,Q114440930,Q107022057,2020-10-01,
Q114440990,"Minister of Social Action, Women, and Literacy",Q114440984,Q112180579,2020-10-01,
Q4414,Minister of the Armed Forces,Q114440748,Q105550917,2020-10-01,
Q114441326,Secretary General of the Government,Q114440516,Q114005610,2020-09-28,
Q114440894,Minister of Human Rights,Q114440866,Q109018470,2019-01-24,
Q16639103,Minister of Territorial Administration,Q114440596,Q113579024,2015-06-28,
Q16639633,"Minister of the Civil Service, Labour and Social Dialogue",Q114440708,Q16639103,2015-06-28,
