item,itemLabel,startDate,endDate,sourceDate,psid
Q113946231,Abdoul-Hamid Segoun Tidjani Dourodjaye,1999,2000,2022-09-12,Q113946231-F13C4036-1A18-4337-B5E9-909551D9231A
Q113946236,Tankpadja Lalle,2000,2002,2022-09-12,Q113946236-55FD06E8-74D0-425F-A5BF-1B362A6D9805
Q113946233,Ayawovi Demba Tignokpa,2002,2003,2022-09-12,Q113946233-1468F3D2-A188-4D89-A039-9B413B7CE7F4
Q113946235,Kossi Assimaidou,2002,2002,2022-09-12,Q113946235-B063CD0C-B203-4CAC-AD40-131DA3A37FD5
Q113946234,Débaba Bale,2003,2005,2022-09-12,Q113946234-93E697D5-7EF4-4C6B-B7B3-6C72FC1C16D8
Q113579024,Payadowa Boukpessi,2005,2007,2022-09-12,Q113579024-59077CE1-1895-4D7C-AF1A-A22C2575E934
Q113946232,Adji Otèth Ayassor,2007,2016,2022-09-12,Q113946232-D8F736E2-4E6D-4018-A886-6050A83B1031
Q88219141,Sani Yaya,2016-08-01,,,Q88219141-DD94F793-CBD8-4E0E-96CA-A1EA74F51E8D
